"","source","duration","duration_notes"
"1","Gustafsson et al 2010 ECOL FRE FISH",NA,"until n = 5"
"2","O'Brien et al 2001 J CAN FISH AQUAT RES",NA,"until n = 100"
"3","Persson 1986 J ANIM ECOL",NA,"until n = 10"
"4","Harborne 2012 CORAL REEFS",NA,"either 22 or 47 hours"
"5","Hyatt 1980 PHD THESIS UNIVERSITY OF BRITISH COLUMBIA",NA,NA
"6","Ohlberger et al 2008 CANADIAN J OF FISHERIES AND AQUATIC SCIENCES",NA,"until n = 6"
"7","Hedgespeth et al 2014 AQUATIC TOXICOLOGY",NA,"until n = 5 or 20minutes"
"8","Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES",NA,"until  5 < n < 10"
"9","Johansson 1987 OECOLOGIA",NA,"until npp = something"
"10","Bergman 1988 J OF ANIMAL ECOLOGY",NA,"until  5 < n < 10"
